yyyyMMdd,Net sales,Total orders,Total guests
20250401,1446.22,81,81
20250402,1793.50,86,86
20250403,1738.70,72,72
20250404,3132.44,137,138
20250405,2272.65,102,102
20250406,1293.80,57,57
20250407,1659.96,85,85
20250408,1629.44,76,76
20250409,1850.90,88,88
20250410,1727.72,88,88
20250411,2869.19,136,136
20250412,3115.44,130,130
20250413,619.35,24,24
20250414,2039.76,97,97
20250415,2050.72,91,91
20250416,1951.85,89,89
20250417,1765.95,86,86
20250418,2671.93,129,129
20250419,3046.83,127,127
20250420,393.95,16,16
20250421,2941.64,108,108
20250422,1849.82,92,92
20250423,1830.41,99,99
20250424,1552.32,71,71
20250425,2499.62,115,115
20250426,2290.71,103,103
20250427,1071.05,46,46
20250428,2047.73,100,100
20250429,1497.57,62,62
20250430,1204.65,66,66
