Payment type,Payment sub type,Count,Amount,Tips,Grat,Tax amount,Refunds,Tip refunds,Legacy tips,Total,Tips/Grat %
Cash,,227,4157.12,0.0,0.0,335.68,0.0,0.0,0.00,4157.12,0.0
Credit/debit,,2437,58734.58,5542.30,0.0,4696.07,0.0,0.0,5542.30,64276.88,10.2
Credit/debit,AMEX,173,4803.97,496.7,0.0,384.57,0.0,0.0,496.70,5300.67,11.2
Credit/debit,DISCOVER,83,1651.48,132.54,0.0,130.38,0.0,0.0,132.54,1784.02,8.7
Credit/debit,MASTERCARD,542,14711.47,1308.4,0.0,1167.09,0.0,0.0,1308.40,16019.87,9.7
Credit/debit,VISA,1639,37567.66,3604.66,0.0,3014.03,0.0,0.0,3604.66,41172.32,10.4
Gift Card,,2,59.63,0.0,0.0,4.68,0.0,0.0,0.00,59.63,0.0
Other,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,
Subtotal,,2666,62951.33,5542.30,0.0,5036.43,0.0,0.0,5542.30,68493.63,9.6
Deposit Sales Collected,,,,,,,,,,5.15,
Total,,,,,,,,,,68498.78,
