yyyyMMdd,Net sales,Total orders,Total guests
20250301,2844.84,107,107
20250302,974.60,45,45
20250303,2355.70,83,83
20250304,1766.49,77,77
20250305,2022.50,87,87
20250306,1811.73,100,100
20250307,3532.97,154,154
20250308,2646.97,105,105
20250309,1496.85,44,44
20250310,2134.15,98,98
20250311,2192.33,109,109
20250312,2298.27,107,107
20250313,1850.74,96,96
20250314,2288.72,97,97
20250315,2518.32,99,99
20250316,908.67,36,36
20250317,2082.31,97,97
20250318,1806.93,88,88
20250319,1481.90,71,71
20250320,1814.87,97,97
20250321,2973.39,131,131
20250322,2193.75,98,98
20250323,784.39,29,29
20250324,2612.02,111,111
20250325,2036.77,96,96
20250326,1809.31,89,89
20250327,2134.38,90,90
20250328,2505.90,104,104
20250329,2658.47,119,119
20250330,600.27,29,29
20250331,1178.75,62,62
