yyyyMMdd,Net sales,Total orders,Total guests
20250101,1562.35,66,66
20250102,1487.62,68,68
20250103,3151.34,129,129
20250104,1733.97,83,83
20250105,495.67,16,16
20250106,1543.65,59,59
20250107,1079.16,54,54
20250108,1623.45,76,76
20250109,409.44,23,23
20250111,1858.20,80,80
20250112,952.30,34,34
20250113,1396.00,58,58
20250114,1401.01,65,65
20250115,2397.44,86,86
20250116,2080.34,89,89
20250117,2538.26,102,102
20250118,1888.20,74,74
20250119,529.80,22,22
20250120,1382.25,54,54
20250121,876.36,44,44
20250122,1516.60,72,72
20250123,2060.70,91,91
20250124,2995.32,137,137
20250125,2773.30,111,111
20250127,1570.22,52,52
20250128,1471.74,65,65
20250129,1331.05,62,62
20250130,1738.92,73,73
20250131,2239.89,87,87
