Payment type,Payment sub type,Count,Amount,Tips,Grat,Tax amount,Refunds,Tip refunds,Legacy tips,Total,Tips/Grat %
Cash,,178,3381.98,0.0,0.0,269.78,0.0,0.0,0.00,3381.98,0.0
Credit/debit,,1861,48860.20,4772.02,40.0,3910.01,0.0,0.0,4772.02,53672.22,10.7
Credit/debit,AMEX,106,3913.83,348.61,20.0,316.88,0.0,0.0,348.61,4282.44,10.2
Credit/debit,DISCOVER,79,1871.03,162.27,0.0,147.38,0.0,0.0,162.27,2033.30,9.4
Credit/debit,MASTERCARD,357,9482.73,873.2,0.0,756.51,0.0,0.0,873.20,10355.93,10.0
Credit/debit,VISA,1319,33592.61,3387.94,20.0,2689.24,0.0,0.0,3387.94,37000.55,11.0
Gift Card,,2,61.12,0.0,0.0,4.79,0.0,0.0,0.00,61.12,0.0
Other,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,
Subtotal,,2041,52303.30,4772.02,40.0,4184.58,0.0,0.0,4772.02,57115.32,10.0
Deposit Sales Collected,,,,,,,,,,39.32,
Total,,,,,,,,,,57154.64,
