Payment type,Payment sub type,Count,Amount,Tips,Grat,Tax amount,Refunds,Tip refunds,Legacy tips,Total,Tips/Grat %
Cash,,181,3653.69,0.0,0.0,294.87,0.0,0.0,0.00,3653.69,0.0
Credit/debit,,1812,45871.95,4423.25,0.0,3679.84,-89.79,-5.84,4417.41,50205.41,10.5
Credit/debit,AMEX,90,2610.88,280.85,0.0,208.11,0.0,0.0,280.85,2891.73,11.7
Credit/debit,DISCOVER,71,1756.58,169.47,0.0,143.26,0.0,0.0,169.47,1926.05,10.5
Credit/debit,MASTERCARD,402,10573.47,937.36,0.0,842.7,0.0,0.0,937.36,11510.83,9.6
Credit/debit,VISA,1249,30931.02,3035.57,0.0,2485.77,-89.79,-5.84,3029.73,33876.80,10.6
Gift Card,,1,8.68,0.0,0.0,0.68,0.0,0.0,0.00,8.68,0.0
Other,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,
Subtotal,,1994,49534.32,4423.25,0.0,3975.39,-89.79,-5.84,4417.41,53867.78,9.7
Deposit Sales Collected,,,,,,,,,,28.48,
Total,,,,,,,,,,53896.26,
