yyyyMMdd,Net sales,Total orders,Total guests
20250201,3397.72,148,148
20250202,989.00,31,31
20250203,1877.30,88,88
20250204,1258.57,49,49
20250205,1892.15,76,78
20250206,1625.45,80,80
20250207,2474.74,118,119
20250208,2305.06,103,103
20250209,979.02,32,32
20250210,1315.35,69,69
20250211,1481.64,66,66
20250212,356.55,14,14
20250213,1599.44,78,78
20250214,2402.09,93,93
20250215,2424.78,92,92
20250216,850.84,32,32
20250217,1186.19,61,61
20250220,521.93,23,23
20250221,1860.33,85,85
20250222,2373.62,82,82
20250223,727.60,34,34
20250224,2070.19,95,95
20250225,2214.57,111,111
20250226,2138.37,97,97
20250227,2313.59,108,108
20250228,2835.87,121,121
