yyyyMMdd,Net sales,Total orders,Total guests
20250501,2757.95,117,117
20250502,4709.20,193,193
20250503,2117.96,90,90
20250504,959.47,46,46
20250505,1127.53,65,65
20250506,1607.39,73,73
20250507,1539.29,77,77
20250508,1697.52,96,96
20250509,2404.11,114,114
20250510,5824.99,224,224
20250511,1235.65,51,51
20250512,1664.46,83,83
20250513,2149.67,100,100
20250514,1660.62,72,72
20250515,2155.10,116,116
20250516,2078.43,105,105
20250517,2457.83,92,92
20250518,740.37,37,37
20250519,1549.17,74,74
20250520,1988.23,88,88
20250521,2008.29,86,86
20250522,2051.42,100,100
20250523,5308.15,126,126
20250524,2148.53,93,93
20250525,939.35,39,39
20250526,1789.22,72,73
20250527,1298.30,62,62
20250528,2022.86,98,98
20250529,2272.49,100,100
20250530,2072.91,99,99
20250531,2663.55,124,124
