masterId,parentId,itemGuid,Item,Sales Category,Item tags,Deferred,Qty sold,Avg. price,Avg. item price (not incl. mods),Item COGS,Gross sales,Discount amount,Refund amount,Void amount,Net sales,COGS,Gross profit,Gross margin (%),Tax,Waste count,Waste amount
"",,,,,,,7611.0,8.58,8.00,,65275.05,1109.09,40.95,231.30,64125.01,,,,5625.87,0.0,0.0
400000005016435301,400000005016425582,c4464422-b60f-46cb-9cdc-f1aee0108a36,Large Kimchi Fry,Food,[],false,339.0,13.33,11.00,,4518.0,56.3,0.0,29.5,4461.7,,,,379.62,0.0,0.0
400000005016435303,400000005016425582,06af090d-dfec-4bb5-be16-42e7f5bde29b,Small Kimchi Fry,Food,[],false,444.0,9.84,8.00,,4368.0,53.05,0.0,25.0,4314.95,,,,366.02,0.0,0.0
400000005016435305,400000005016425582,e216a4df-b696-4c10-b08e-a0d64c2d4e45,Large Plain Fry,Food,[],false,46.0,6.15,6.00,,283.0,15.0,0.0,0.0,268.0,,,,22.31,0.0,0.0
400000005016435307,400000005016425582,37f85d67-424e-4320-98f1-892e08cac347,Small Plain Fry,Food,[],false,139.0,4.09,4.00,,568.5,16.0,0.0,0.0,552.5,,,,46.64,0.0,0.0
400000005016435309,400000005016425582,acffddd8-08b8-4cec-af00-cf9e308392fc,Spring Rolls,Food,[],false,175.0,6.52,6.50,,1141.5,13.65,0.0,13.0,1127.85,,,,95.55,0.0,0.0
400000005016435313,400000005016425582,af231502-25f8-4a29-87c8-4ef41c10e246,Calamari App,Food,[],false,22.0,18.09,18.00,,398.0,9.0,0.0,0.0,389.0,,,,33.08,0.0,0.0
400000005016435317,400000005016425582,bbdec03e-9fba-4cb5-9102-f8e066a79a4c,Fritter App,Food,[],false,27.0,6.50,6.50,,175.5,7.15,0.0,0.0,168.35,,,,14.26,0.0,0.0
400000005016435319,400000005016425582,8fe98cba-be53-450d-b257-c962f67d7789,Children's Popcorn Chicken,Food,[],false,122.0,5.98,5.95,,729.9,54.83,0.0,0.0,675.07,,,,57.63,0.0,0.0
400000005016435321,400000005016425582,d0759de4-06f5-499b-bfe8-ab80c6bf88fb,Adult Popcorn Chicken,Food,[],false,66.0,9.00,8.95,,593.7,67.19,0.0,0.0,526.51,,,,44.73,0.0,0.0
400000005016435323,400000005016425582,14487ae4-73a4-4321-ac69-7b4fba0061ca,Wonton Chips,Food,[],false,18.0,1.50,1.50,,27.0,0.75,0.0,0.0,26.25,,,,2.27,0.0,0.0
400000005016441268,400000005016425588,f8498140-bcb1-4607-842b-6a4fff13a395,Fried Chicken Banh Mi,Food,[],false,207.0,11.63,11.55,,2407.85,7.52,0.0,0.0,2400.33,,,,201.81,0.0,0.0
400000005016441270,400000005016425588,d0a9b052-8719-470e-b105-4ff4e51c0880,Fritter Banh Mi,Food,[],false,39.0,10.58,10.55,,412.45,11.06,0.0,21.1,401.39,,,,33.34,0.0,0.0
400000005016441272,400000005016425588,dfd0d51b-be04-4422-8a1f-53ac569f81e5,Portobello Banh Mi,Food,[],false,38.0,10.58,10.55,,401.9,0.0,0.0,0.0,401.9,,,,33.38,0.0,0.0
400000005016441278,400000005016425588,5dc8124f-6287-496f-8485-f6706a02998c,Calamari Banh Mi,Food,[],false,16.0,14.50,14.50,,232.0,0.0,0.0,0.0,232.0,,,,19.68,0.0,0.0
400000005016441280,400000005016425588,b0aa1217-167a-4391-91fd-d5ef8a420bb9,Shrimp Banh Mi,Food,[],false,62.0,12.80,12.75,,793.5,0.0,0.0,0.0,793.5,,,,67.8,0.0,0.0
400000005530876011,400000005016425588,3ad093fa-024d-4d59-a674-4290dfdd91ee,Fried Vegan Chik'n Banh Mi,Food,[],false,85.0,11.70,11.41,,994.75,0.0,11.55,0.0,983.2,,,,82.5,0.0,0.0
400000045110163477,400000005016425588,2f92cf35-df8c-42d1-8879-679af6b21d40,Pork Banh Mi,Food,[],false,477.0,10.83,10.55,,5165.85,55.93,0.0,21.1,5109.92,,,,432.32,0.0,0.0
400000045110908413,400000005016425588,0f522993-8911-41bd-8e38-d4515823a740,Pesto Banh Mi,Food,[],false,169.0,10.76,10.55,,1818.95,29.88,0.0,0.0,1789.07,,,,149.93,0.0,0.0
400000005177816823,400000005177874151,5fce8595-49c9-465e-9a46-06b1688ef7c8,Veggie Burger,Food,[],false,9.0,10.53,9.95,,94.8,6.6,0.0,0.0,88.2,,,,7.52,0.0,0.0
400000005107546501,400000005177874151,1902dde4-face-49bd-b925-946333d43a14,VEGAN Fried Chik'n Brioche,Food,[],false,34.0,10.10,9.95,,343.3,0.0,0.0,0.0,343.3,,,,29.31,0.0,0.0
400000005016441262,400000005177874151,daba44ca-7129-4792-a7c9-d7c09c007afe,Fried Chicken Brioche,Food,[],false,66.0,10.15,9.95,,670.2,30.62,0.0,0.0,639.58,,,,54.58,0.0,0.0
400000005016436296,400000005016425586,ff82921b-39c2-4080-a4e2-26fa47d64446,The Pao,Food,[],false,611.0,13.43,12.91,,8207.95,91.05,25.9,0.0,8091.0,,,,684.68,0.0,0.0
400000005016436298,400000005016425586,834f981f-cf31-44e0-9b3f-666086031e81,The Pesto,Food,[],false,460.0,13.39,12.95,,6161.0,48.1,0.0,38.85,6112.9,,,,518.71,0.0,0.0
400000005016436750,400000005016425586,0b5f9650-f21b-4732-ae6b-e59f2f611f89,The Fritz,Food,[],false,28.0,13.31,12.95,,372.6,7.78,0.0,12.95,364.82,,,,31.0,0.0,0.0
400000005016436752,400000005016425586,b90246dd-630a-43aa-a085-1a331aa4fce4,The Shroom,Food,[],false,67.0,14.47,13.95,,969.65,20.93,0.0,0.0,948.72,,,,80.9,0.0,0.0
400000005016436758,400000005016425586,9145c005-db47-4e0e-85cc-7255c89480e4,The Jam,Food,[],false,289.0,15.01,14.50,,4338.5,142.25,0.0,14.5,4196.25,,,,355.15,0.0,0.0
400000005016436760,400000005016425586,2a9c5961-ed48-40b5-819b-0be70ee29420,The Shrimp,Food,[],false,190.0,15.34,14.95,,2915.0,71.02,0.0,14.95,2843.98,,,,241.82,0.0,0.0
400000005016436762,400000005016425586,14d18f8f-51f0-4eab-86d6-e56c43766927,The Squid,Food,[],false,47.0,17.22,16.95,,809.15,0.0,0.0,0.0,809.15,,,,68.77,0.0,0.0
400000005016436764,400000005016425586,1733dbc1-a92b-40bb-980f-c33244080ea3,Fried Chicken Bowl,Food,[],false,313.0,14.21,13.95,,4446.35,18.91,0.0,13.95,4427.44,,,,376.4,0.0,0.0
