Payment type,Payment sub type,Count,Amount,Tips,Grat,Tax amount,Refunds,Tip refunds,Legacy tips,Total,Tips/Grat %
Cash,,262,4493.95,0.0,0.0,365.01,0.0,0.0,0.00,4493.95,0.0
Credit/debit,,2664,68122.44,6741.78,20.0,5256.98,-44.43,0.0,6741.78,74839.79,10.8
Credit/debit,AMEX,149,4446.9,450.52,0.0,354.72,0.0,0.0,450.52,4897.42,11.0
Credit/debit,DISCOVER,100,2481.83,236.56,0.0,198.63,0.0,0.0,236.56,2718.39,10.4
Credit/debit,MASTERCARD,533,12966.1,1235.98,0.0,1047.48,-44.43,0.0,1235.98,14157.65,10.4
Credit/debit,VISA,1882,48227.61,4818.72,20.0,3656.15,0.0,0.0,4818.72,53066.33,10.9
Gift Card,,3,84.41,0.0,0.0,6.61,0.0,0.0,0.00,84.41,0.0
Other,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,
Subtotal,,2929,72700.80,6741.78,20.0,5628.60,-44.43,0.0,6741.78,79418.15,10.1
Deposit Sales Collected,,,,,,,,,,62.92,
Total,,,,,,,,,,79481.07,
