masterId,parentId,itemGuid,Item,Sales Category,Item tags,Deferred,Qty sold,Avg. price,Avg. item price (not incl. mods),Item COGS,Gross sales,Discount amount,Refund amount,Void amount,Net sales,COGS,Gross profit,Gross margin (%),Tax,Waste count,Waste amount
"",,,,,,,6460.0,8.43,7.95,,54452.35,703.66,0.0,145.00,53748.69,,,,4678.92,0.0,0.0
400000005016435301,400000005016425582,c4464422-b60f-46cb-9cdc-f1aee0108a36,Large Kimchi Fry,Food,[],false,234.0,13.33,11.00,,3118.5,7.5,0.0,0.0,3111.0,,,,265.33,0.0,0.0
400000005016435303,400000005016425582,06af090d-dfec-4bb5-be16-42e7f5bde29b,Small Kimchi Fry,Food,[],false,382.0,9.58,8.00,,3658.5,49.0,0.0,12.0,3609.5,,,,306.3,0.0,0.0
400000005016435305,400000005016425582,e216a4df-b696-4c10-b08e-a0d64c2d4e45,Large Plain Fry,Food,[],false,29.0,6.10,6.00,,177.0,3.0,0.0,0.0,174.0,,,,14.81,0.0,0.0
400000005016435307,400000005016425582,37f85d67-424e-4320-98f1-892e08cac347,Small Plain Fry,Food,[],false,135.0,4.20,4.00,,567.0,15.5,0.0,7.0,551.5,,,,46.55,0.0,0.0
400000005016435309,400000005016425582,acffddd8-08b8-4cec-af00-cf9e308392fc,Spring Rolls,Food,[],false,139.0,6.52,6.50,,906.5,3.25,0.0,6.5,903.25,,,,76.47,0.0,0.0
400000005016435313,400000005016425582,af231502-25f8-4a29-87c8-4ef41c10e246,Calamari App,Food,[],false,16.0,18.00,18.00,,288.0,0.0,0.0,0.0,288.0,,,,24.48,0.0,0.0
400000005016435315,400000005016425582,567bfcd2-61ab-4a40-bc03-07794ba30bf1,Meatball App,Food,[],false,17.0,7.06,7.00,,120.0,10.5,0.0,7.0,109.5,,,,9.38,0.0,0.0
400000005016435317,400000005016425582,bbdec03e-9fba-4cb5-9102-f8e066a79a4c,Fritter App,Food,[],false,28.0,6.54,6.50,,183.0,9.75,0.0,0.0,173.25,,,,14.67,0.0,0.0
400000005016435319,400000005016425582,8fe98cba-be53-450d-b257-c962f67d7789,Children's Popcorn Chicken,Food,[],false,93.0,5.99,5.95,,557.35,47.67,0.0,0.0,509.68,,,,43.54,0.0,0.0
400000005016435321,400000005016425582,d0759de4-06f5-499b-bfe8-ab80c6bf88fb,Adult Popcorn Chicken,Food,[],false,59.0,9.03,8.95,,533.05,85.57,0.0,0.0,447.48,,,,38.01,0.0,0.0
400000005016435323,400000005016425582,14487ae4-73a4-4321-ac69-7b4fba0061ca,Wonton Chips,Food,[],false,11.0,1.50,1.50,,16.5,0.75,0.0,0.0,15.75,,,,1.36,0.0,0.0
